#枚举值部分
childTextSelectedColor,子节点选中文字颜色
childTextHoverColor,子节点悬停文字颜色
expendMode,节点展开模式
maxStep,最大步数
currentStep,当前第几步
navStyle,导航样式
currentBackground,当前背景色
currentForeground,当前前景色
lineLen,线条的长度
index,当前索引
texts,按钮文本集合
btnNormalColor,按钮正常颜色
btnHoverColor,按钮经过颜色
btnDarkColor,按钮加深颜色
textNormalColor,文字正常颜色
textHoverColor,文字经过颜色
textDarkColor,文字加深颜色
leftIcon,左侧图标
rightIcon1,右侧图标1
rightIcon2,右侧图标2
rightIcon3,右侧图标3
rightIcon4,右侧图标4
rightIcon5,右侧图标5
padding,间距
textCenter,文字居中
iconNormalColor,图标正常颜色
iconHoverColor,图标悬停颜色
iconPressColor,图标按下颜色
headHeight,顶部高度
xStep,X轴步长
yStep,Y轴步长
smooth,平滑效果
showHLine,横向线条
showVLine,纵向线条
showPoint,显示坐标点
showPointBg,显示坐标点背景
pointColor,坐标点颜色
deep,深度
waveStyle,声音样式
longStep,长步长
shortStep,短步长
pointerWidth,指针宽度
sliderColorTop,滑块上部颜色
sliderColorBottom,滑块下部颜色
tipBgColor,当前值背景色
tipTextColor,当前值文字颜色
alarmValue,告警值
maxValueRight,右边最小值
minValueRight,右边最大值
valueRight,右边目标值
alarmValueRight,右边告警值
longStepRight,右边长步长
shortStepRight,右边短步长
alarmScaleColor,告警刻度颜色
barPosition,柱状条位置
tickPosition,刻度尺位置
coverColor,覆盖颜色
rulerTop,标尺在顶部
rangeValue,范围值
sliderColor,滑块颜色
btnPressColor,按钮按下颜色
showText,显示值
sliderStyle,滑块风格
sliderBgPercent,滑块背景所占比例
sliderPercent,滑块所占比例
arrowStyle,箭头样式
labTipWidth,气泡提示宽度
labTipHeight,气泡提示高度
labTipFont,气泡提示字体
showTime,显示时间
clickEnable,单击跳转
colorBg,背景颜色
colorValue,值颜色
colorLow,低值颜色
colorHigh,高值颜色
showColorName,显示颜色名字

autoHeight,自动高度
percentHeight,百分比高度
percentBorder,百分比边框宽度
percentRadius,百分比边框圆角
percentColor,百分比颜色
topColor,顶部颜色
bottomColor,底部颜色
disableColor,禁用颜色
staticMode,静态颜色模式
outMode,突出模式
hsbMode,显示HSB颜色
percent,百分比
color,颜色
barSpace,柱状间距
groupSpace,分组间距
cursorColor,鼠标颜色
hue,颜色分量HUE值
sat,颜色分量SAT值
columnCount,列数
showSuperText,显示角标
superText,角标文字
superTextFont,角标文字字体
superTextAlign,角标对齐方式
superTextColor,角标文字颜色
textFont,文字字体
normalColor,正常颜色
pressedColor,按下颜色
canMove,能移动
bgImage,背景图片
colorMode,背景色模式
signColor,选中符号颜色
signSize,选中符号大小
checked,选中
hovered,永久悬停
bannerFixedSize,指示器固定尺寸
bannerStyle,指示器样式
imageNames,图片集合
hoverStop,鼠标悬停停止
showNumber,显示序号
minHeight,指示器最小高度
minWidth,指示器最小宽度
maxWidth,指示器最大宽度
interval,间隔
navRadius,圆角角度
navColor,指示器颜色
tipColor,提示文字颜色
imageNames,图片名称
imageTips,提示信息
navPosition,指示器位置
imageName,图片路径
normalImage,正常图片
enterImage,进入图片
leaveImage,离开图片
buttonStyle,防区按钮样式
buttonStatus,防区按钮状态
factor,动画因子
imageName1,图片1路径
imageName2,图片2路径
pixmap1,图片1
pixmap2,图片2
animationType,动画效果
calendarStyle,日历风格
clockStyle,钟表样式
pilotStyle,指示灯风格
image,图片
imageValue,图片值
isChecked,选中
buttonStyle,按钮样式
